SAP,Material Description,routing time,Class,Class Code
500557536,"BPA B0003868,UU,H=125mm DRX737",15.0,Low,1
500321493,"BPA B0003921,O,ANW DRX732",25.0,Low,1
500506254,"BPA B0003921,Z2100214,Z2100205 DRX737",30.0,Low,1
500534223,"BPA B0004252,S, H=190mm DRX737",20.0,Low,1
500509697,"BPA B0004252,S,H=125mm DRX737",15.0,Low,1
500560205,"BPA B0004252,S,H=140mm DRX737",30.0,Low,1
500487861,"BPA B0004252,U DRX737",15.0,Low,1
500509696,"BPA B0004252,U,H=190mm DRX737",15.0,Low,1
500554538,BPA B0004392 exclude B0033007 DRX740,15.0,Low,1
500524388,"BPA B0007038,H=125cm DRX737",20.0,Low,1
500487748,"BPA B0007096,U DRX737",15.0,Low,1
500564662,"BPA B0007107 ,Plastic locking DRX740",55.0,Low,1
500540459,BPA B0007107 exclude B0010946 DRX740,15.0,Low,1
500425089,"BPA B0007107, U DRX740",11.0,Low,1
500457566,BPA B0007114 DRX730,18.0,Low,1
500321544,"BPA B0007287,B0004252,ANW DRX740",40.0,Low,1
500467925,"BPA B0007287,B0004252,S DRX740",40.0,Low,1
500518343,"BPA B0007629,U DRX740",30.0,Low,1
500539451,"BPA B0007629,U,H=125mm DRX737",20.0,Low,1
500452950,"BPA B0008166,S DRX732",11.0,Low,1
500339336,"BPA B0008166,U ANW DRX732",15.0,Low,1
500361689,"BPA B0008459,ANW Verpacktisch DRX736",31.0,Low,1
500572679,"BPA B0008786 ,S,H=125 mm DRX737",15.0,Low,1
500528465,"BPA B0008786,exclude Z2100183,S DRX740",32.55,Low,1
500576925,"BPA B0008786,U,H=120mm DRX737",15.0,Low,1
500407022,"BPA B0009926,E0600258,6Q0035674J DRX732",25.0,Low,1
500371877,"BPA B0009926,E0600258,F0314499 DRX732",15.0,Low,1
500378769,"BPA B0010236,ANW DRX732",10.0,Low,1
500495419,"BPA B0010283,U DRX740",15.0,Low,1
500473303,"BPA B0010285,8B001724,B01,G02,E06 DRX737",424.0,High,3
500483650,"BPA B0010285,8B002717/21,B01,G02 DRX737",480.0,Very High,4
500430895,"BPA B0010285,B0101486,G0221447 DRX736",240.0,Medium,2
500572722,"BPA B0010477 ,SO,H=140mm DRX737",20.0,Low,1
500576770,"BPA B0010477,UU,H=180mm DRX737",25.0,Low,1
500437861,"BPA B0010923,U DRX732",15.0,Low,1
500557654,"BPA B0011818,U,H=125mm DRX737",15.0,Low,1
500425098,BPA B0012214 DRX732,23.0,Low,1
500541632,"BPA B0012310,U DRX730",9.3,Low,1
500526011,"BPA B0012668,Lage U DRX740",15.0,Low,1
500468514,BPA B0012965 DRX740,25.0,Low,1
500468515,BPA B0012966 DRX740,21.0,Low,1
500486946,"BPA B0013011,U DRX740",15.0,Low,1
500410839,"BPA B0013013,Lage S orientierung DRX732",20.0,Low,1
500554537,"BPA B0013331, U DRX740",15.0,Low,1
500450141,BPA B0013491_SLS DRX732,20.0,Low,1
500551912,"BPA B0013496,H=125mm DRX737",25.0,Low,1
500450110,BPA B0013520 DRX732,10.0,Low,1
500447310,"BPA B0013725,8B002717,2XG0211021 DRX736",450.0,High,3
500483282,"BPA B0013725,8B002717/21,B01,G02 DRX736",700.0,Very High,4
500557762,"BPA B0014823,U,H=125mm DRX737",35.0,Low,1
500551534,"BPA B0015488,H=125mm DRX737",15.0,Low,1
500518686,"BPA B0015862,U DRX740",30.0,Low,1
500529984,"BPA B0016148,G0003326,H=125mm DRX737",160.0,Medium,2
500539699,"BPA B0016160,T0102517,Z2100227,RL DRX737",50.0,Low,1
500518689,"BPA B0016185,T0102517 DRX740",50.0,Low,1
500519037,"BPA B0016185,T0102517,H=125mm DRX737",90.0,Low,1
500539694,"BPA B0016185,T0102517,Z2100227,LL DRX737",80.0,Low,1
500578110,"BPA B0017894,T0102578,Z2100227,LL DRX737",250.0,Medium,2
500578112,"BPA B0017895,T0102578,Z2100227,RL DRX737",116.0,Low,1
500583210,"BPA B0017895,T0102578,Z2100227,RL DRX737",150.0,Low,1
500587830,"BPA B0019196,U exclude B0003815 DRX740",15.0,Low,1
500550093,"BPA B0022003,U,H=125mm DRX737",25.0,Low,1
500550714,"BPA B0033007,U,H=125mm DRX737",25.0,Low,1
500206727,"BPA B0100880,B0003105 DRX733",25.0,Low,1
500224697,"BPA B0100880,B0006681 DRX733",80.0,Low,1
500276167,BPA B0101280_Cover_G91/G94 ANW DRX736,180.0,Medium,2
500342693,"BPA B0101280,G91/G94/G94 DRX736 NEU",150.0,Low,1
500347678,"BPA B0101280,m.Deckel,Fest,ANW DRX736",25.0,Low,1
500329265,"BPA B0101282,G91/G94/G94,ANW DRX736",120.0,Low,1
500370269,"BPA B0101412,ANW DRX733",12.0,Low,1
500384783,BPA B0101498 DRX736,35.0,Low,1
500360540,"BPA B0101516,G0210075,G0220275DRX Sonder",25.0,Low,1
500360476,"BPA B0101535,A7300059,ANW DRX Sonder",25.0,Low,1
500454165,BPA B0101700 oder B0101423 DRX737,120.0,Low,1
500501146,BPA B0101700oB0101423oB0101741 DRX737,200.0,Medium,2
500493493,BPA B0101701 DRX732,100.0,Low,1
500564355,"BPA B0200860,SO DRX740",30.0,Low,1
500564356,"BPA B0200860,SU DRX740",15.0,Low,1
500487715,"BPA B0200860,UU DRX737",10.0,Low,1
500564358,"BPA B0200860,UU DRX740",30.0,Low,1
500242636,"BPA B0201063,U DRX733",20.0,Low,1
500224718,"BPA B0201112,U DRX733",15.0,Low,1
500217924,"BPA B0201276,U DRX733",10.0,Low,1
500319526,"BPA B0201551,A DRX732",35.0,Low,1
500319497,"BPA B0201552,A DRX732",35.0,Low,1
500220627,BPA B0201563 DRX733,35.0,Low,1
500208323,BPA B0201616 DRX733,50.0,Low,1
500232004,BPA B0201792 DRX732,20.0,Low,1
500231998,BPA B0201795 DRX732,15.0,Low,1
500232098,"BPA B0201810,B0201811,A DRX732",5.0,Low,1
500232137,"BPA B0201816,A DRX732",25.0,Low,1
500232161,"BPA B0201818,A DRX732",6.0,Low,1
500233656,"BPA B0201837,U DRX732",20.0,Low,1
500325384,"BPA B0201838,Schnappmutter DRX736",660.0,Very High,4
500406641,"BPA B0201838,Schnappmutter DRX737",650.0,Very High,4
500233635,"BPA B0201840,A DRX732",15.0,Low,1
500326173,"BPA B0201840,A,ANW DRX740",16.0,Low,1
500237502,"BPA B0201842, DRX732",10.0,Low,1
500326174,"BPA B0201842,A,ANW DRX740",10.0,Low,1
500250299,BPA B0201844 DRX736,600.0,Very High,4
500447311,"BPA B0201844,8B002717,2XG0211021 DRX736",400.0,High,3
500483286,"BPA B0201844,8B002717/21,B01,G02 DRX736",650.0,Very High,4
500392949,"BPA B0201844,ANW DRX736",720.0,Very High,4
500235331,BPA B0201845 DRX732,10.0,Low,1
500233752,"BPA B0201852,A DRX732",15.0,Low,1
500247072,"BPA B0201874,U DRX732",31.0,Low,1
500305200,"BPA B0201875,G0420219,T0300048,ANWDRX736",32.0,Low,1
500365945,"BPA B0201876,ANW DRX736",30.0,Low,1
